Meta Data
Label,Value,
Date,4/14/2016
Profile,HillsAndValleys
ScanDuration,10 s
ScanLength,2 mm
ScanResolution,0.666445 µm
ScanType,Standard Scan
StylusForce,3 mg
StylusScanRange,6.5 µm
StylusType,Radius: 12.5 μm
Time,11:35:52 AM


Data Leveling Position
R Cursor Position,544.772889667319 µm
R Cursor Width,0 µm
M Cursor Position,1098.61416952126 µm
M Cursor Width,54.7755111943455 µm


Data
Lateral(µm),Total Profile(nm),,
38.6537820726425,-3.76871211392033,,
39.3202265911363,-3.60975547634829,,
39.9866711096301,-4.43698044840405,,
40.653115628124,-5.47125237460557,,
41.3195601466178,-5.63214564902762,,
41.9860046651116,-4.67437896809349,,
42.6524491836055,-4.0206572887666,,
43.3188937020993,-4.17863294904949,,
43.9853382205931,-5.16001813825824,,
44.651782739087,-6.41157053266153,,
45.3182272575808,-6.64716309590789,,
45.9846717760746,-5.71141098683668,,
46.6511162945685,-4.52139424693775,,
47.3175608130623,-4.3366602026999,,
47.9840053315561,-4.88580845460199,,
48.65044985005,-5.6693289964909,,
49.3168943685438,-6.05115467979143,,
49.9833388870377,-5.36804546503914,,
50.6497834055315,-4.21747049247742,,
51.3162279240253,-3.98410520530211,,
51.9826724425192,-4.81363654010077,,
52.649116961013,-6.08068594437181,,
53.3155614795068,-6.45323781039999,,
53.9820059980007,-5.90654028228284,,
54.6484505164945,-4.79648348704082,,
55.3148950349883,-4.28176014388769,,
55.9813395534822,-5.16828119131405,,
56.647784071976,-5.9760528246903,,
57.3142285904698,-5.86644768419545,,
57.9806731089637,-4.90352301355646,,
58.6471176274575,-3.6129911269233,,
59.3135621459513,-3.59355860673343,,
59.9800066644452,-4.89954481136732,,
60.646451182939,-6.64384536177602,,
61.3128957014329,-7.12647605959111,,
61.9793402199267,-6.35512572634208,,
62.6457847384205,-4.75308994097911,,
63.3122292569144,-4.00437228177269,,
63.9786737754082,-4.73987217064413,,
64.645118293902,-5.84001447338608,,
65.3115628123959,-6.04542646808045,,
65.9780073308897,-5.18705551496783,,
66.6444518493835,-3.33193744523371,,
67.3108963678774,-2.4023176813607,,
67.9773408863712,-2.99580170158343,,
68.643785404865,-4.40218420267827,,
69.3102299233589,-5.34918998144009,,
69.9766744418527,-5.04550188611959,,
70.6431189603465,-3.77267093788348,,
71.3095634788404,-2.82005633939729,,
71.9760079973342,-3.128206879469,,
72.6424525158281,-4.31467552768977,,
73.3088970343219,-5.34381127595739,,
73.9753415528157,-5.1534124763929,,
74.6417860713096,-3.77539770212518,,
75.3082305898034,-2.44053647460906,,
75.9746751082972,-2.33652012835415,,
76.6411196267911,-3.59476661796326,,
77.3075641452849,-4.70660927416005,,
77.9740086637787,-4.99239711155466,,
78.6404531822726,-3.87140799294764,,
79.3068977007664,-2.71406900011129,,
79.9733422192602,-2.857581270533,,
80.6397867377541,-3.82529334585807,,
81.3062312562479,-4.80330768218629,,
81.9726757747417,-5.00105429839411,,
82.6391202932356,-3.64001574148498,,
83.3055648117294,-2.13539502251098,,
83.9720093302233,-2.02413478018681,,
84.6384538487171,-2.86666186841105,,
85.3048983672109,-4.094756093339,,
85.9713428857048,-4.8099355108983,,
86.6377874041986,-4.11204028968754,,
87.3042319226924,-2.99861131016758,,
87.9706764411863,-2.65254760525081,,
88.6371209596801,-3.16121812806016,,
89.3035654781739,-4.59693085152563,,
89.9700099966678,-5.19100475658264,,
90.6364545151616,-4.2919385328022,,
91.3028990336554,-3.21112689576067,,
91.9693435521493,-2.21120736701447,,
92.6357880706431,-2.16161592127704,,
93.3022325891369,-2.91046471112353,,
93.9686771076308,-3.3243211215905,,
94.6351216261246,-3.38428434774062,,
95.3015661446184,-2.91297969756639,,
95.9680106631123,-2.66497337803318,,
96.6344551816061,-3.2957891514592,,
97.3008997001,-4.13996062743897,,
97.9673442185938,-4.61576530811341,,
98.6337887370876,-4.39517968402654,,
99.3002332555815,-3.36404504398342,,
99.9666777740753,-2.70731172887138,,
100.633122292569,-3.10589201699132,,
101.299566811063,-3.77563456167957,,
101.966011329557,-4.18629457233427,,
102.632455848051,-3.85549594613881,,
103.298900366544,-3.00443787752167,,
103.965344885038,-2.39888620640546,,
104.631789403532,-2.74316936496413,,
105.298233922026,-3.32001553656401,,
105.96467844052,-3.83416700477327,,
106.631122959014,-3.44396848039566,,
107.297567477507,-2.24204865455209,,
107.964011996001,-1.15720096388062,,
108.630456514495,-1.37474437725286,,
109.296901032989,-2.36604240964095,,
109.963345551483,-3.13030900993327,,
110.629790069977,-2.97511339490758,,
111.296234588471,-1.86971678520706,,
111.962679106964,-0.896298995953407,,
112.629123625458,-0.773048654667093,,
113.295568143952,-1.6803154508714,,
113.962012662446,-2.57139782765956,,
114.62845718094,-2.51185204054847,,
115.294901699434,-1.89041573523355,,
115.961346217927,-1.28610643112125,,
116.627790736421,-1.38300750230879,,
117.294235254915,-2.02921257872957,,
